;Recipe ID;Title;Meal;Q_Merge_Label;Ingredients;Calories;Protein;Carbs;Fat;Link;Price;V_0
0;1;Al's Burmese Chicken Curry;2;21;"['1 teaspoon butter, or as needed365 Everyday ValueÂ® Organic ButterEveryday SavingsLEARN MOREADVERTISEMENT', '8 shallots, thinly sliced', '3 tablespoons red curry paste, or more to taste', '2 tablespoons hot curry powder', '1 tablespoon ground red chile pepper', '2 1/2 pounds chicken thighs', '1 lemongrass, smashed and cut into 1-inch pieces', ""10 bird's eye chile peppers, chopped, or to taste"", '1 tablespoon ground coriander', '2 kaffir lime leaves, or to taste', '3 tablespoons fish sauce', 'water to cover', '1 (14 ounce) can coconut milk', '4 tomatoes, quartered', '1/2 small bunch fresh cilantro, chopped, or to taste']";527;34.6 ;22.6;34.3 ;http://allrecipes.com/Recipe/Al's-Burmese-Chicken-Curry-Recipe;12;0
1;2;Avocado and Tuna Tapas;2;22;['1 (12 ounce) can solid white tuna packed in water, drained', '1 tablespoon mayonnaise', '3 green onions, thinly sliced, plus additional for garnish', '1/2 red bell pepper, chopped', '1 dash balsamic vinegar', 'black pepper to taste', '1 pinch garlic salt, or to taste', '2 ripe avocados, halved and pittedHass AvocadosEveryday SavingsLEARN MOREADVERTISEMENT'];294;23.9 ;11;18.2 ;http://allrecipes.com/Recipe/Avocado-and-Tuna-Tapas-Recipe;13;0
2;3;Awesome Slow Cooker Pot Roast;2;23;"[""2 (10.75 ounce) cans condensed cream of mushroom soupCampbell'sÂ® Condensed Cream of Mushroom SoupThe creamy you love, even creamierBUY NOWADVERTISEMENT"", '1 (1 ounce) package dry onion soup mix', '1 1/4 cups water', '5 1/2 pounds pot roast']";426;45.6 ;4.9;23.7 ;http://allrecipes.com/Recipe/Awesome-Slow-Cooker-Pot-Roast-Recipe;6;0
3;4;Beef Stroganoff with Ground Beef;2;24;['2 tablespoons butter365 Everyday ValueÂ® Organic ButterEveryday SavingsLEARN MOREADVERTISEMENT', '1 cup sliced fresh mushrooms', '1/3 cup chopped onion', '1 pound lean ground beef', '2 tablespoons all-purpose flour', '1 teaspoon garlic powder', '1 teaspoon seasoning salt', '1/2 teaspoon ground paprika', '1/4 teaspoon ground black pepper', '1 (10.75 ounce) can condensed cream of mushroom soup', '3/4 cup sour cream, or more to taste', '1 tablespoon liquid smoke, or to taste (optional)', '1 tablespoon Worcestershire sauce'];495;23.9 ;13.9;38.4 ;http://allrecipes.com/Recipe/Beef-Stroganoff-with-Ground-Beef-Recipe;12;0
4;5;Cardamom Maple Salmon;2;25;['1 1/2 teaspoons salt', '1 teaspoon paprika', '1 teaspoon ground cardamom', '1 teaspoon ground coriander', '1/2 teaspoon ground black pepper', '1/4 cup grapeseed oil', '2 tablespoons maple syrup', '1 (2 pound) salmon fillet, cut into 3-inch piecesResponsibly Farmed Atlantic Salmon FilletsEveryday SavingsLEARN MOREADVERTISEMENT'];345;26.3 ;5.2;23.8 ;http://allrecipes.com/Recipe/Cardamom-Maple-Salmon-Recipe;9;0
5;6;Chef John's Lobster Thermidor;2;26;['4 (4 ounce) lobster tails', '3 tablespoons butter, divided365 Everyday ValueÂ® Organic ButterEveryday SavingsLEARN MOREADVERTISEMENT', '2 tablespoons minced shallots', 'Salt, to taste', '1 1/2 cups diced mushrooms (optional)', '1 tablespoon all-purpose flour', '2 tablespoons cognac or brandy', '1/2 cup whole milk', '2 tablespoons creme fraiche or heavy cream', '1 tablespoon chopped fresh tarragon', 'Cayenne pepper, to taste', '2 teaspoons fine dried bread crumbs', '2 teaspoons freshly grated Parmigiano-Reggiano cheese', '2 teaspoons melted butter'];590;41.4 ;13.8;35.3 ;http://allrecipes.com/Recipe/Chef-John's-Lobster-Thermidor-Recipe;11;0
6;7;Copycat Fried Chicken Sandwich;2;27;['Marinade:', '1 cup buttermilk', '2 teaspoons kosher salt', '1 dash hot sauce, or to taste', '1 tablespoon dry ranch dressing mix (such as Hidden Valley RanchÂ®)', '4 (5 ounce) skinless, boneless chicken breast halves', 'Breading:', '1 1/3 cups all-purpose flour', '2 tablespoons cornstarch', '2 teaspoons kosher salt', '1/2 teaspoon freshly ground black pepper', '1 1/2 teaspoons cayenne pepper (optional)', '1 tablespoon dry ranch dressing mix (such as Hidden Valley RanchÂ®)', 'Wash:', '1 large egg, beaten', '1/2 cup buttermilk', '1/4 cup milk', 'The Rest:', 'canola oil for frying', '4 soft hamburger buns, toasted and buttered', '6 tablespoons mayonnaise, or to taste', '12 dill pickle slices, or to taste'];811;37 ;74.6;39.6 ;http://allrecipes.com/Recipe/Copycat-Fried-Chicken-Sandwich-Recipe;14;0
7;8;Gemelli Pasta with Roasted Pumpkin and Pancetta;2;28;['2 cups peeled, cubed pumpkin', '2 tablespoons extra-virgin olive oil, dividedGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', '1 teaspoon fresh thyme', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '1/2 (16 ounce) package gemelli pasta', '1 (4 ounce) package diced pancetta', '1 cup chicken broth', '1/4 cup grated Parmigiano-Reggiano cheese'];356;13.8 ;45.8;13.6 ;http://allrecipes.com/Recipe/Gemelli-Pasta-with-Roasted-Pumpkin-and-Pancetta-Recipe;14;0
8;9;Indian Fish Curry;2;29;['For the marinade:', '2 teaspoons Dijon mustard', '1 teaspoon ground black pepper', '1/2 teaspoon salt', '2 tablespoons canola oil', '4 white fish fillets', '1 onion, coarsely chopped', '4 cloves garlic, roughly choppedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', '1 (1 inch) piece fresh ginger root, peeled and chopped', '5 cashew halves', '1 tablespoon canola oil', '2 teaspoons cayenne pepper, or to taste', '1/2 teaspoon ground turmeric', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon salt', '1 teaspoon white sugarC&H Pure Cane Granulated Sugar 4 Lb$1.78 for 1 item - expires in a month', '1/2 cup chopped tomato', '1/4 cup vegetable broth', '1/4 cup chopped fresh cilantro'];338;41.6 ;11.6;13.5 ;http://allrecipes.com/Recipe/Indian-Fish-Curry-Recipe;7;0
9;10;Roasted Wild Mushrooms and Potatoes;2;30;['2 pounds new potatoes (such as Yukon Gold), halved', '2 tablespoons olive oil, or more if neededGreat Value Extra Virgin Olive Oil 17 ozAdds smooth flavor to your everyday cookingBUY NOWADVERTISEMENT', 'salt to taste', '1 teaspoon olive oil', '2 ounces pancetta, chopped', '1/4 pound king trumpet mushrooms, cut into chunks', '1/4 pound chanterelle mushrooms, cut into chunks', '1/4 pound nameko mushrooms, trimmed', '1/4 pound clamshell (shimeji) mushrooms, trimmed', '3 tablespoons sherry vinegar', '2 tablespoons chopped fresh tarragon', '2 cloves garlic, mincedGreat Value Minced Garlic, 8 ozIn Stores OnlyBUY NOWADVERTISEMENT', '1 tablespoon olive oil (optional)'];335;9.7 ;44.9;13.7 ;http://allrecipes.com/Recipe/Roasted-Wild-Mushrooms-and-Potatoes-Recipe;7;0
